iter	MAE
0	2.819436743
1	2.659898448
2	2.515225191
3	2.377949594
4	2.251710161
5	2.133293343
6	2.024077495
7	1.923435168
8	1.830736018
9	1.74342872
10	1.663260656
11	1.589196697
12	1.521333474
13	1.458752451
14	1.400403877
15	1.346913073
16	1.297375102
17	1.25156066
18	1.209920167
19	1.170868371
20	1.134813505
21	1.102014894
22	1.071347213
23	1.043732836
24	1.018421361
25	0.9953759841
26	0.9741465971
27	0.9554019776
28	0.9389177604
29	0.9238525924
30	0.9104178162
31	0.8981433769
32	0.8871290095
33	0.8773040908
34	0.8687103835
35	0.8610531421
36	0.8544058495
37	0.8483861872
38	0.8431555249
39	0.8377260643
40	0.8332657992
41	0.8296325248
42	0.8265478289
43	0.8237503473
44	0.8213859016
45	0.819148663
46	0.8172870137
47	0.8155929516
48	0.8139242946
49	0.8117641037
50	0.8098821707
51	0.8080605366
52	0.8071119392
53	0.8055934791
54	0.8044207868
55	0.8028978421
56	0.8024315517
57	0.8013916514
58	0.8001668361
59	0.7989824087
60	0.7981481853
61	0.7972886842
62	0.7964359222
63	0.7957525521
64	0.7950664772
65	0.7942572745
66	0.7935951194
67	0.7930837691
68	0.7926591224
69	0.7921673847
70	0.7918196561
71	0.7914161534
72	0.7911029393
73	0.7907236905
74	0.790431659
75	0.7900189679
76	0.7897069525
77	0.7895375529
78	0.7892067286
79	0.7889250683
80	0.788669275
81	0.7884729787
82	0.7882971305
83	0.7879852385
84	0.787724996
85	0.7875212312
86	0.7873186311
87	0.7870393301
88	0.7869426336
89	0.7867412249
90	0.7866825844
91	0.7862118714
92	0.7860517949
93	0.7859191064
94	0.785780537
95	0.785711853
96	0.7856379151
97	0.7854892534
98	0.7853753821
99	0.785250857
100	0.7851410572
101	0.7849100686
102	0.7848178951
103	0.7846728621
104	0.7844338041
105	0.7842498309
106	0.7838077928
107	0.783735941
108	0.7835537489
109	0.7834589589
110	0.7833725907
111	0.7833416442
112	0.7832196788
113	0.783127924
114	0.7828874057
115	0.7827194159
116	0.7825986494
117	0.7824299159
118	0.7823100453
119	0.7821389375
120	0.7820238309
121	0.7819406247
122	0.7818754846
123	0.7817705715
124	0.7816981885
125	0.7814957582
126	0.7809270859
127	0.7808208938
128	0.7807290804
129	0.7805225491
130	0.7802982133
131	0.7800228686
132	0.7799397623
133	0.7795692066
134	0.779509041
135	0.7790709061
136	0.7788535073
137	0.7785609648
138	0.7784077619
139	0.7783567211
140	0.7781873919
141	0.7781325885
142	0.7780166148
143	0.7778427412
144	0.7777017203
145	0.7776165131
146	0.7774913648
147	0.7773602428
148	0.7772166538
149	0.7771460734
150	0.7770452185
151	0.7769079958
152	0.7767699901
153	0.7767048093
154	0.7766402273
155	0.776518086
156	0.7764949301
157	0.7763282824
158	0.7762431081
159	0.7762009346
160	0.7761389951
161	0.7760426463
162	0.7759086745
163	0.7758697644
164	0.7757080239
165	0.7752157798
166	0.7748478504
167	0.7747440256
168	0.7746190558
169	0.7745282647
170	0.7744682109
171	0.7743796098
172	0.7741369256
173	0.7740482338
174	0.7739068008
175	0.7738160551
176	0.7737511608
177	0.773317187
178	0.7732556842
179	0.7729759168
180	0.7728565333
181	0.7727924564
182	0.7727759939
183	0.7727107138
184	0.7726647077
185	0.7726393677
186	0.7724428875
187	0.7723612541
188	0.7723178257
189	0.7721564291
190	0.7720773493
191	0.7719552712
192	0.7718903968
193	0.7718090646
194	0.7717617399
195	0.7715511741
196	0.7714300063
197	0.771411086
198	0.7713414215
199	0.7712709704
200	0.7710891559
201	0.7710603696
202	0.7709499631
203	0.7708300465
204	0.7707206925
205	0.7706992039
206	0.7706472369
207	0.7705939954
208	0.7704553598
209	0.77041846
210	0.7703700637
211	0.7703206338
212	0.7702349889
213	0.7701412972
214	0.7700636297
215	0.7699692985
216	0.7699385569
217	0.7698738743
218	0.7696737596
219	0.7695271416
220	0.7694829851
221	0.7693865719
222	0.769218674
223	0.769167472
224	0.7690479049
225	0.7689949631
226	0.7688829133
227	0.7688306436
228	0.7687341902
229	0.7686955033
230	0.7682584222
231	0.767796756
232	0.7677350427
233	0.7676689691
234	0.7675009641
235	0.7674657628
236	0.7670852389
237	0.7669601533
238	0.7669272235
239	0.7667894576
240	0.7666923135
241	0.7666360295
242	0.7665559373
243	0.766489756
244	0.7664407491
245	0.7663375772
246	0.7662372632
247	0.7662061216
248	0.7661298327
249	0.7660023264
250	0.7659120941
251	0.7658779195
252	0.7658016041
253	0.7657154778
254	0.7656548918
255	0.7656304274
256	0.7655723521
257	0.765437792
258	0.7653061308
259	0.765239775
260	0.7652164675
261	0.7648271634
262	0.7647488026
263	0.7646976206
264	0.7646470927
265	0.7645498417
266	0.7644865189
267	0.7641185027
268	0.7640372524
269	0.7639666739
270	0.7637031787
271	0.763592524
272	0.7635446817
273	0.7632525877
274	0.7630150728
275	0.7629172335
276	0.7627151696
277	0.7626936331
278	0.7624684262
279	0.7624472229
280	0.7624283242
281	0.7623658057
282	0.7623068969
283	0.7622610029
284	0.7622438624
285	0.7620432948
286	0.7619854007
287	0.761939544
288	0.7619000567
289	0.7618645657
290	0.7618194678
291	0.7617585188
292	0.7617236896
293	0.7616910814
294	0.7616371395
295	0.7616191794
296	0.7615901599
297	0.7615645601
298	0.7615364415
299	0.7614705092
300	0.7613707956
301	0.761140947
302	0.7610873773
303	0.7610393637
304	0.7608820457
305	0.760847817
306	0.7607620055
307	0.7606039057
308	0.7605717727
309	0.760551182
310	0.7604233225
311	0.7603123029
312	0.7602951971
313	0.7602787118
314	0.7602617739
315	0.759920949
316	0.759899734
317	0.7598884932
318	0.7597834022
319	0.7597147956
320	0.7596803598
321	0.7596183293
322	0.7595624802
323	0.7593910452
324	0.759364699
325	0.7593057003
326	0.7591850543
327	0.7591043645
328	0.7590806952
329	0.7590377883
330	0.758986541
331	0.7589455665
332	0.7588962835
333	0.7587920933
334	0.7587286238
335	0.7587183976
336	0.7587091531
337	0.7586671926
338	0.7586420924
339	0.7585849307
340	0.7585564243
341	0.7584089957
342	0.7583707627
343	0.7583138884
344	0.7582266831
345	0.758203537
346	0.7581824959
347	0.7581409902
348	0.7580769258
349	0.7580547462
350	0.7580471802
351	0.7577389007
352	0.7577075099
353	0.7576866885
354	0.7576749265
355	0.7576618942
356	0.7576088328
357	0.7575479132
358	0.7574422918
359	0.7574110223
360	0.7573879982
361	0.7571658603
362	0.7571542222
363	0.7568741169
364	0.7568421473
365	0.756794436
366	0.7567448418
367	0.7566986237
368	0.7566880847
369	0.7566566776
370	0.7566338434
371	0.7566245467
372	0.7565920888
373	0.7565830915
374	0.756534895
375	0.7565116868
376	0.7564221236
377	0.7564047397
378	0.7563579874
379	0.7562830242
380	0.7562619877
381	0.7561543467
382	0.7561294265
383	0.7560655727
384	0.7559753345
385	0.7559356196
386	0.7559116413
387	0.7558543388
388	0.755801096
389	0.7557661204
390	0.7557209281
391	0.7556775997
392	0.755595988
393	0.7554888308
394	0.7554466653
395	0.7553854888
396	0.7552851651
397	0.7552334881
398	0.7551553194
399	0.7551366275
400	0.7550317344
401	0.7547975244
402	0.7547069214
403	0.7546875168
404	0.7546440145
405	0.7546059985
406	0.7545861468
407	0.7545151135
408	0.7544908654
409	0.7544199816
410	0.754353378
411	0.7543465279
412	0.754319143
413	0.754296141
414	0.7542605674
415	0.7542192883
416	0.7542005262
417	0.754176017
418	0.7541298115
419	0.7540819363
420	0.754037067
421	0.7540208039
422	0.7539875021
423	0.7539240133
424	0.7539008845
425	0.7536997385
426	0.7536421043
427	0.7536315795
428	0.7536005577
429	0.7535513702
430	0.7534990807
431	0.753367149
432	0.7533576346
433	0.7533201706
434	0.7532813645
435	0.7532364164
436	0.7531966821
437	0.7531378549
438	0.7531232776
439	0.7530756712
440	0.7530079709
441	0.7529720758
442	0.7527946517
443	0.7527018739
444	0.7526496934
445	0.7526148726
446	0.7525902287
447	0.7525512182
448	0.752442374
449	0.7524182405
450	0.7523814435
451	0.7523481048
452	0.7523001562
453	0.7521710665
454	0.7521634897
455	0.7521185139
456	0.7520842977
457	0.7520526984
458	0.7519972375
459	0.7519820041
460	0.7519518802
461	0.7519319447
462	0.7518564289
463	0.751751138
464	0.751732434
465	0.7516638581
