iter	Passed	Remaining
0	52	42044
1	101	40754
2	148	39552
3	194	38871
4	243	38867
5	289	38414
6	337	38346
7	386	38382
8	436	38465
9	483	38363
10	531	38289
11	581	38327
12	630	38326
13	675	38091
14	723	38009
15	771	37971
16	820	37950
17	866	37806
18	915	37763
19	962	37695
20	1011	37648
21	1058	37561
22	1105	37485
23	1151	37367
24	1198	37287
25	1245	37228
26	1291	37114
27	1336	36992
28	1384	36942
29	1430	36848
30	1479	36846
31	1527	36797
32	1572	36692
33	1617	36581
34	1665	36549
35	1712	36477
36	1758	36397
37	1805	36355
38	1853	36314
39	1898	36208
40	1946	36168
41	1994	36132
42	2040	36073
43	2088	36020
44	2136	35982
45	2184	35956
46	2232	35916
47	2281	35885
48	2328	35836
49	2373	35751
50	2418	35667
51	2465	35601
52	2510	35530
53	2557	35470
54	2605	35438
55	2649	35346
56	2694	35267
57	2740	35205
58	2788	35159
59	2834	35100
60	2879	35021
61	2925	34960
62	2974	34935
63	3018	34857
64	3066	34816
65	3112	34754
66	3159	34706
67	3202	34618
68	3249	34564
69	3297	34526
70	3343	34470
71	3388	34403
72	3434	34346
73	3482	34310
74	3529	34256
75	3577	34218
76	3623	34163
77	3668	34101
78	3713	34029
79	3759	33979
80	3806	33929
81	3854	33891
82	3899	33830
83	3946	33783
84	3994	33741
85	4040	33686
86	4084	33612
87	4131	33571
88	4176	33505
89	4222	33448
90	4269	33401
91	4315	33349
92	4362	33307
93	4408	33252
94	4457	33219
95	4504	33173
96	4548	33105
97	4595	33056
98	4639	32994
99	4688	32962
100	4733	32903
101	4779	32846
102	4822	32774
103	4868	32724
104	4917	32687
105	4960	32620
106	5008	32579
107	5055	32533
108	5104	32497
109	5153	32464
110	5197	32400
111	5242	32344
112	5288	32292
113	5335	32246
114	5381	32197
115	5426	32135
116	5475	32105
117	5521	32050
118	5569	32011
119	5617	31973
120	5663	31923
121	5709	31867
122	5757	31832
123	5801	31767
124	5847	31714
125	5894	31670
126	5942	31629
127	5992	31601
128	6039	31553
129	6086	31510
130	6132	31459
131	6182	31430
132	6228	31376
133	6276	31336
134	6323	31291
135	6370	31242
136	6418	31204
137	6468	31169
138	6515	31124
139	6559	31063
140	6605	31013
141	6651	30961
142	6696	30906
143	6743	30859
144	6789	30809
145	6837	30768
146	6883	30718
147	6928	30664
148	6979	30633
149	7024	30578
150	7071	30533
151	7115	30475
152	7164	30436
153	7210	30388
154	7258	30345
155	7304	30296
156	7351	30250
157	7398	30203
158	7445	30157
159	7491	30107
160	7536	30053
161	7584	30010
162	7630	29961
163	7678	29919
164	7725	29870
165	7773	29830
166	7820	29784
167	7869	29743
168	7913	29687
169	7959	29638
170	8005	29589
171	8052	29541
172	8098	29490
173	8144	29440
174	8193	29401
175	8239	29353
176	8288	29313
177	8338	29278
178	8384	29229
179	8431	29182
180	8481	29146
181	8528	29099
182	8573	29046
183	8619	28997
184	8665	28948
185	8710	28893
186	8757	28849
187	8807	28811
188	8850	28753
189	8898	28709
190	8944	28661
191	8992	28615
192	9040	28573
193	9087	28526
194	9134	28479
195	9183	28441
196	9230	28393
197	9273	28336
198	9322	28295
199	9370	28252
200	9418	28208
201	9464	28159
202	9514	28121
203	9561	28074
204	9604	28018
205	9649	27964
206	9699	27926
207	9743	27873
208	9792	27831
209	9837	27780
210	9883	27729
211	9928	27676
212	9972	27624
213	10020	27580
214	10067	27532
215	10116	27492
216	10162	27443
217	10211	27401
218	10254	27346
219	10300	27297
220	10344	27242
221	10389	27191
222	10437	27145
223	10482	27095
224	10528	27047
225	10573	26995
226	10620	26948
227	10664	26896
228	10710	26846
229	10754	26792
230	10801	26747
231	10848	26700
232	10893	26649
233	10942	26607
234	10986	26553
235	11029	26499
236	11077	26455
237	11121	26402
238	11166	26351
239	11213	26305
240	11260	26258
241	11306	26210
242	11354	26166
243	11403	26125
244	11454	26087
245	11498	26035
246	11546	25990
247	11590	25937
248	11637	25893
249	11682	25841
250	11729	25795
251	11774	25745
252	11822	25700
253	11871	25658
254	11917	25611
255	11962	25560
256	12008	25512
257	12053	25461
258	12097	25409
259	12142	25359
260	12187	25308
261	12234	25262
262	12277	25209
263	12322	25159
264	12371	25116
265	12416	25067
266	12464	25021
267	12511	24975
268	12560	24933
269	12608	24890
270	12657	24847
271	12701	24796
272	12748	24750
273	12797	24707
274	12845	24663
275	12891	24614
276	12941	24574
277	12985	24523
278	13033	24477
279	13076	24425
280	13120	24373
281	13168	24329
282	13215	24282
283	13264	24240
284	13309	24190
285	13356	24143
286	13401	24094
287	13449	24050
288	13500	24010
289	13546	23963
290	13594	23918
291	13643	23876
292	13694	23836
293	13744	23795
294	13792	23751
295	13836	23699
296	13886	23659
297	13936	23617
298	13985	23573
299	14033	23529
300	14080	23483
301	14128	23437
302	14178	23396
303	14225	23349
304	14272	23303
305	14318	23256
306	14365	23209
307	14413	23164
308	14459	23117
309	14509	23074
310	14558	23032
311	14607	22988
312	14656	22944
313	14701	22894
314	14750	22851
315	14797	22804
316	14842	22754
317	14885	22702
318	14932	22656
319	14980	22611
320	15027	22564
321	15072	22515
322	15122	22473
323	15171	22429
324	15217	22381
325	15265	22335
326	15313	22290
327	15362	22247
328	15407	22198
329	15453	22149
330	15500	22103
331	15550	22061
332	15594	22010
333	15641	21963
334	15685	21912
335	15729	21862
336	15775	21813
337	15824	21770
338	15870	21721
339	15914	21671
340	15963	21627
341	16012	21583
342	16057	21535
343	16100	21483
344	16147	21436
345	16192	21387
346	16238	21339
347	16287	21295
348	16333	21247
349	16378	21198
350	16422	21148
351	16472	21105
352	16519	21059
353	16563	21009
354	16608	20959
355	16653	20910
356	16697	20860
357	16748	20818
358	16798	20775
359	16846	20730
360	16891	20681
361	16939	20635
362	16984	20587
363	17031	20541
364	17076	20492
365	17121	20442
366	17165	20392
367	17209	20342
368	17254	20293
369	17302	20248
370	17348	20200
371	17391	20150
372	17440	20105
373	17486	20058
374	17533	20011
375	17582	19967
376	17630	19921
377	17678	19876
378	17727	19832
379	17774	19785
380	17824	19742
381	17872	19697
382	17917	19648
383	17965	19602
384	18014	19558
385	18060	19511
386	18110	19467
387	18157	19420
388	18204	19374
389	18250	19326
390	18296	19278
391	18340	19229
392	18387	19182
393	18432	19133
394	18477	19085
395	18523	19037
396	18572	18993
397	18620	18948
398	18667	18901
399	18716	18857
400	18765	18812
401	18812	18766
402	18862	18722
403	18908	18674
404	18954	18627
405	18998	18577
406	19046	18531
407	19092	18484
408	19137	18435
409	19183	18387
410	19230	18341
411	19276	18293
412	19324	18248
413	19372	18202
414	19417	18154
415	19466	18109
416	19512	18061
417	19561	18016
418	19608	17970
419	19654	17923
420	19701	17876
421	19748	17829
422	19792	17780
423	19838	17732
424	19884	17685
425	19935	17642
426	19982	17595
427	20033	17552
428	20076	17502
429	20123	17456
430	20170	17409
431	20217	17362
432	20260	17313
433	20308	17266
434	20356	17221
435	20400	17172
436	20447	17124
437	20495	17079
438	20541	17032
439	20589	16986
440	20635	16939
441	20680	16890
442	20727	16843
443	20775	16798
444	20822	16751
445	20868	16703
446	20916	16658
447	20961	16610
448	21008	16563
449	21053	16515
450	21100	16469
451	21147	16422
452	21193	16374
453	21242	16329
454	21286	16280
455	21331	16232
456	21378	16186
457	21422	16137
458	21470	16090
459	21517	16044
460	21563	15997
461	21613	15952
462	21661	15907
463	21706	15858
464	21755	15813
465	21801	15766
466	21848	15719
467	21895	15673
468	21943	15626
469	21988	15578
470	22032	15530
471	22080	15484
472	22126	15437
473	22173	15390
474	22218	15342
475	22266	15296
476	22311	15248
477	22356	15200
478	22407	15156
479	22452	15108
480	22502	15064
481	22552	15019
482	22597	14971
483	22645	14925
484	22689	14877
485	22735	14829
486	22782	14783
487	22829	14736
488	22875	14688
489	22922	14642
490	22966	14593
491	23010	14545
492	23055	14497
493	23101	14450
494	23147	14402
495	23193	14355
496	23238	14307
497	23282	14259
498	23330	14213
499	23379	14167
500	23426	14121
501	23471	14073
502	23518	14027
503	23563	13979
504	23612	13933
505	23656	13885
506	23701	13837
507	23749	13791
508	23799	13746
509	23845	13699
510	23890	13651
511	23935	13603
512	23980	13556
513	24027	13509
514	24071	13461
515	24119	13415
516	24163	13367
517	24208	13319
518	24255	13272
519	24300	13224
520	24350	13180
521	24395	13132
522	24441	13085
523	24487	13037
524	24532	12990
525	24578	12943
526	24626	12897
527	24670	12849
528	24714	12801
529	24761	12754
530	24806	12706
531	24850	12658
532	24899	12613
533	24946	12566
534	24995	12521
535	25043	12474
536	25088	12427
537	25133	12380
538	25184	12335
539	25232	12289
540	25276	12241
541	25323	12194
542	25370	12147
543	25418	12101
544	25466	12055
545	25514	12009
546	25560	11962
547	25609	11916
548	25658	11871
549	25705	11824
550	25751	11777
551	25796	11729
552	25843	11683
553	25891	11636
554	25936	11589
555	25985	11543
556	26035	11498
557	26087	11454
558	26134	11407
559	26183	11361
560	26229	11314
561	26276	11267
562	26325	11222
563	26372	11175
564	26418	11128
565	26469	11083
566	26517	11037
567	26566	10991
568	26616	10945
569	26662	10898
