iter	MAE
0	22.33031094
1	19.53628366
2	17.36774932
3	15.80972281
4	14.67048208
5	13.85822824
6	13.28814263
7	12.88232674
8	12.5950335
9	12.38837964
10	12.21511485
11	12.09597546
12	12.01641384
13	11.95878953
14	11.90823676
15	11.87620832
16	11.83399639
17	11.80845148
18	11.77630053
19	11.76184514
20	11.74028731
21	11.72926344
22	11.71663775
23	11.70220666
24	11.68820434
25	11.67925839
26	11.67182732
27	11.6512506
28	11.6422278
29	11.63768496
30	11.62084912
31	11.60660108
32	11.59580561
33	11.58587841
34	11.58113587
35	11.57717026
36	11.55435565
37	11.5432519
38	11.53365485
39	11.52462488
40	11.50794515
41	11.50186176
42	11.49715351
43	11.49254743
44	11.48749879
45	11.48283569
46	11.48087879
47	11.4777514
48	11.47268777
49	11.471252
50	11.46883089
51	11.46376056
52	11.46183226
53	11.46037363
54	11.45749202
55	11.4545045
56	11.45327085
57	11.45116519
58	11.44814976
59	11.44550708
60	11.43098917
61	11.42264074
62	11.41980691
63	11.41872224
64	11.41667939
65	11.41548104
66	11.41310981
67	11.40691845
68	11.40538206
69	11.39734075
70	11.39352523
71	11.38906007
72	11.38727601
73	11.38549541
74	11.38337454
75	11.38097127
76	11.37862213
77	11.37134131
78	11.36906929
79	11.36718302
80	11.36596113
81	11.36220316
82	11.36082105
83	11.35937764
84	11.35766248
85	11.35562268
86	11.3532735
87	11.34843418
88	11.34599623
89	11.34210372
90	11.3396778
91	11.33777686
92	11.33678629
93	11.33463614
94	11.33215051
95	11.33131918
96	11.32688929
97	11.32177403
98	11.32101114
99	11.31859171
100	11.31692944
101	11.31572489
102	11.31393802
103	11.31309052
104	11.31212781
105	11.31098266
106	11.31001267
107	11.308259
108	11.30702865
109	11.30468744
110	11.30397269
111	11.30106296
112	11.2995706
113	11.29661054
114	11.29584669
115	11.29447116
116	11.29302752
117	11.29104789
118	11.28912693
119	11.28791003
120	11.28664943
121	11.28452973
122	11.283928
123	11.28308802
124	11.28201027
125	11.28142949
126	11.28062619
127	11.27971665
128	11.27805194
129	11.27558845
130	11.27384812
131	11.27325369
132	11.27164224
133	11.27004078
134	11.26870098
135	11.26814876
136	11.26618639
137	11.2639062
138	11.26313586
139	11.26206475
140	11.26119302
141	11.26071349
142	11.25910212
143	11.25879378
144	11.25784857
145	11.25753947
146	11.25622339
147	11.25505669
148	11.25387848
149	11.25247514
150	11.25155768
151	11.24994448
152	11.24950867
153	11.24742852
154	11.24628778
155	11.24509747
156	11.24476099
157	11.24424227
158	11.24338777
159	11.24297138
160	11.24271882
161	11.24141818
162	11.24108659
163	11.24045211
164	11.23992449
165	11.23954178
166	11.23870249
167	11.23802558
168	11.23711017
169	11.23686808
170	11.23613249
171	11.23442684
