iter	Passed	Remaining
0	56	29875
1	108	28710
2	160	28270
3	212	28070
4	267	28182
5	320	28071
6	369	27712
7	418	27420
8	468	27229
9	515	26899
10	564	26747
11	616	26725
12	666	26614
13	714	26423
14	760	26212
15	808	26063
16	858	25996
17	911	26019
18	972	26257
19	1019	26099
20	1068	25992
21	1115	25869
22	1165	25793
23	1215	25727
24	1263	25627
25	1313	25559
26	1360	25446
27	1410	25392
28	1456	25256
29	1501	25124
30	1553	25099
31	1606	25098
32	1656	25048
33	1706	25001
34	1754	24912
35	1800	24810
36	1855	24829
37	1911	24845
38	1962	24805
39	2018	24827
40	2067	24756
41	2119	24724
42	2165	24628
43	2211	24531
44	2260	24467
45	2310	24407
46	2357	24322
47	2404	24244
48	2457	24221
49	2503	24133
50	2551	24062
51	2601	24017
52	2651	23968
53	2708	23978
54	2757	23912
55	2805	23845
56	2852	23770
57	2901	23715
58	2950	23653
59	2999	23594
60	3050	23556
61	3100	23505
62	3149	23447
63	3198	23385
64	3244	23311
65	3295	23268
66	3347	23233
67	3400	23203
68	3447	23135
69	3497	23084
70	3551	23058
71	3604	23030
72	3650	22952
73	3696	22876
74	3748	22843
75	3798	22791
76	3848	22742
77	3897	22687
78	3946	22629
79	3998	22592
80	4045	22524
81	4096	22478
82	4141	22401
83	4188	22341
84	4236	22279
85	4287	22233
86	4338	22188
87	4392	22163
88	4440	22103
89	4490	22051
90	4543	22019
91	4593	21967
92	4642	21916
93	4692	21867
94	4743	21818
95	4792	21764
96	4846	21733
97	4899	21696
98	4945	21631
99	4998	21591
100	5048	21544
101	5097	21490
102	5149	21447
103	5195	21383
104	5241	21314
105	5293	21275
106	5343	21225
107	5394	21179
108	5445	21133
109	5495	21083
110	5543	21023
111	5597	20990
112	5645	20932
113	5698	20894
114	5747	20841
115	5797	20791
116	5850	20752
117	5908	20730
118	5958	20680
119	6008	20629
120	6057	20575
121	6111	20536
122	6161	20488
123	6209	20431
124	6254	20366
125	6303	20310
126	6349	20248
127	6399	20199
128	6454	20163
129	6505	20115
130	6556	20070
131	6604	20013
132	6656	19968
133	6710	19929
134	6760	19882
135	6807	19822
136	6858	19775
137	6908	19723
138	6956	19668
139	7005	19615
140	7057	19571
141	7105	19514
142	7157	19470
143	7206	19418
144	7259	19374
145	7308	19322
146	7360	19278
147	7413	19234
148	7468	19197
149	7520	19151
150	7570	19100
151	7620	19051
152	7669	18999
153	7720	18949
154	7776	18913
155	7838	18892
156	7889	18843
157	7936	18786
158	7987	18738
